Name | Total rule apps | Nodes | Branches | Overall time | Automode time | Closed | Time per step | Memory
examples/./performance-test/AccessChain2(AccessChain2__foo_10()).JML_operation_contract.0.key.auto.key | 5817 | 2701 | 91 | 10362 | 6217 | 1 | 2.3017402 | 36597
examples/./performance-test/AccessChain2(AccessChain2__foo_20()).JML_operation_contract.0.key.auto.key | 13645 | 6859 | 181 | 20914 | 16635 | 1 | 2.4252806 | 49520
examples/./performance-test/AccessChain4(AccessChain4__foo_01()).JML_operation_contract.0.key.auto.key | 698 | 337 | 15 | 5605 | 1350 | 1 | 4.0059347 | 21894
examples/./performance-test/AccessChain4(AccessChain4__foo_02()).JML_operation_contract.0.key.auto.key | 1475 | 734 | 24 | 6614 | 2691 | 1 | 3.6662126 | 26402
examples/./performance-test/AccessChain4(AccessChain4__foo_03()).JML_operation_contract.0.key.auto.key | 2086 | 1005 | 34 | 6996 | 2956 | 1 | 2.9412935 | 30199
examples/./performance-test/AccessChain4(AccessChain4__foo_04()).JML_operation_contract.0.key.auto.key | 2736 | 1300 | 45 | 7789 | 3756 | 1 | 2.8892307 | 33125
examples/./performance-test/AccessChain4(AccessChain4__foo_05()).JML_operation_contract.0.key.auto.key | 3427 | 1627 | 56 | 8351 | 4241 | 1 | 2.606638 | 34541
examples/./performance-test/AccessChain4(AccessChain4__foo_06()).JML_operation_contract.0.key.auto.key | 4113 | 1943 | 67 | 8816 | 4747 | 1 | 2.443129 | 34585
examples/./performance-test/AccessChain4(AccessChain4__foo_07()).JML_operation_contract.0.key.auto.key | 4862 | 2315 | 78 | 9536 | 5492 | 1 | 2.3723543 | 35864
examples/./performance-test/AccessChain4(AccessChain4__foo_08()).JML_operation_contract.0.key.auto.key | 5618 | 2684 | 89 | 9814 | 5781 | 1 | 2.1538749 | 36802
examples/./performance-test/AccessChain4(AccessChain4__foo_09()).JML_operation_contract.0.key.auto.key | 6420 | 3091 | 100 | 10890 | 6926 | 1 | 2.2406988 | 37640
examples/./performance-test/AccessChain4(AccessChain4__foo_10()).JML_operation_contract.0.key.auto.key | 7262 | 3514 | 111 | 11620 | 7493 | 1 | 2.1323278 | 38943
